	53503-Pc.singCopy	uniProt.taxonomy_id_500485
Number of genes	4544	12787
Number of genes in orthogroups	4483	9773
Number of unassigned genes	61	3014
Percentage of genes in orthogroups	98.7	76.4
Percentage of unassigned genes	1.3	23.6
Number of orthogroups containing species	4318	5141
Percentage of orthogroups containing species	84.0	100.0
Number of species-specific orthogroups	1	824
Number of genes in species-specific orthogroups	2	3767
Percentage of genes in species-specific orthogroups	0.0	29.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	824	1
'1	4181	3654
'2	117	776
'3	14	265
'4	4	150
'5	2	63
'6	0	50
'7	0	31
'8	0	17
'9	0	23
'10	0	13
11-15	0	44
16-20	0	24
21-50	0	31
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	16.0	0.0
'1	81.3	71.1
'2	2.3	15.1
'3	0.3	5.2
'4	0.1	2.9
'5	0.0	1.2
'6	0.0	1.0
'7	0.0	0.6
'8	0.0	0.3
'9	0.0	0.4
'10	0.0	0.3
11-15	0.0	0.9
16-20	0.0	0.5
21-50	0.0	0.6
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	4181	3654
'2	234	1552
'3	42	795
'4	16	600
'5	10	315
'6	0	300
'7	0	217
'8	0	136
'9	0	207
'10	0	130
11-15	0	557
16-20	0	428
21-50	0	882
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	92.0	28.6
'2	5.1	12.1
'3	0.9	6.2
'4	0.4	4.7
'5	0.2	2.5
'6	0.0	2.3
'7	0.0	1.7
'8	0.0	1.1
'9	0.0	1.6
'10	0.0	1.0
11-15	0.0	4.4
16-20	0.0	3.3
21-50	0.0	6.9
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
